district_code,district_name,neighbourhood_code,neighbourhood_name,transportation
1.0,Ciutat Vella,1.0,el Raval,15
1.0,Ciutat Vella,2.0,el Barri Gòtic,5
1.0,Ciutat Vella,3.0,la Barceloneta,2
1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",6
2.0,Eixample,5.0,el Fort Pienc,13
2.0,Eixample,6.0,la Sagrada Família,9
2.0,Eixample,7.0,la Dreta de l'Eixample,55
2.0,Eixample,8.0,l'Antiga Esquerra de l'Eixample,7
2.0,Eixample,9.0,la Nova Esquerra de l'Eixample,13
2.0,Eixample,10.0,Sant Antoni,13
3.0,Sants-Montjuïc,11.0,el Poble-sec,14
3.0,Sants-Montjuïc,12.0,la Marina del Prat Vermell,29
3.0,Sants-Montjuïc,13.0,la Marina de Port,4
3.0,Sants-Montjuïc,15.0,Hostafrancs,8
3.0,Sants-Montjuïc,16.0,la Bordeta,1
3.0,Sants-Montjuïc,17.0,Sants - Badal,4
3.0,Sants-Montjuïc,18.0,Sants,23
4.0,Les Corts,19.0,les Corts,7
4.0,Les Corts,20.0,la Maternitat i Sant Ramon,17
4.0,Les Corts,21.0,Pedralbes,6
5.0,Sarrià-Sant Gervasi,22.0,"Vallvidrera, el Tibidabo i les Planes",3
5.0,Sarrià-Sant Gervasi,23.0,Sarrià,5
5.0,Sarrià-Sant Gervasi,24.0,les Tres Torres,5
5.0,Sarrià-Sant Gervasi,25.0,Sant Gervasi - la Bonanova,2
5.0,Sarrià-Sant Gervasi,26.0,Sant Gervasi - Galvany,10
5.0,Sarrià-Sant Gervasi,27.0,el Putxet i el Farró,6
6.0,Gràcia,28.0,Vallcarca i els Penitents,7
6.0,Gràcia,29.0,el Coll,1
6.0,Gràcia,31.0,la Vila de Gràcia,6
6.0,Gràcia,32.0,el Camp d'en Grassot i Gràcia Nova,3
7.0,Horta-Guinardó,33.0,el Baix Guinardó,4
7.0,Horta-Guinardó,35.0,el Guinardó,6
7.0,Horta-Guinardó,37.0,el Carmel,5
7.0,Horta-Guinardó,38.0,la Teixonera,2
7.0,Horta-Guinardó,39.0,Sant Genís dels Agudells,1
7.0,Horta-Guinardó,40.0,Montbau,6
7.0,Horta-Guinardó,41.0,la Vall d'Hebron,5
7.0,Horta-Guinardó,43.0,Horta,6
8.0,Nou Barris,44.0,Vilapicina i la Torre Llobeta,9
8.0,Nou Barris,45.0,Porta,1
8.0,Nou Barris,46.0,el Turó de la Peira,4
8.0,Nou Barris,48.0,la Guineueta,3
8.0,Nou Barris,49.0,Canyelles,3
8.0,Nou Barris,50.0,les Roquetes,4
8.0,Nou Barris,51.0,Verdun,1
8.0,Nou Barris,52.0,la Prosperitat,2
8.0,Nou Barris,53.0,la Trinitat Nova,8
8.0,Nou Barris,54.0,Torre Baró,4
8.0,Nou Barris,55.0,Ciutat Meridiana,3
9.0,Sant Andreu,57.0,la Trinitat Vella,5
9.0,Sant Andreu,59.0,el Bon Pastor,2
9.0,Sant Andreu,60.0,Sant Andreu,19
9.0,Sant Andreu,61.0,la Sagrera,7
9.0,Sant Andreu,62.0,el Congrés i els Indians,5
9.0,Sant Andreu,63.0,Navas,5
10.0,Sant Martí,64.0,el Camp de l'Arpa del Clot,8
10.0,Sant Martí,65.0,el Clot,9
10.0,Sant Martí,66.0,el Parc i la Llacuna del Poblenou,12
10.0,Sant Martí,67.0,la Vila Olímpica del Poblenou,5
10.0,Sant Martí,68.0,el Poblenou,4
10.0,Sant Martí,69.0,Diagonal Mar i el Front Marítim del Poblenou,5
10.0,Sant Martí,70.0,el Besòs i el Maresme,12
10.0,Sant Martí,71.0,Provençals del Poblenou,5
10.0,Sant Martí,72.0,Sant Martí de Provençals,6
10.0,Sant Martí,73.0,la Verneda i la Pau,3
